section,title,sectitle,email,lastfirst
CSI-0220-01,Managing a circus,CSI-0220-01 ~ Managing a circus,ymfPR@hampshire.edu,"Fernandez, Yaniris"
CSI-0300-01,Advanced multitasking,CSI-0300-01 ~ Advanced multitasking,ymfPR@hampshire.edu,"Fernandez, Yaniris"
HACU-0228-01,Underwater basketweaving,HACU-0228-01 ~ Underwater basketweaving,bhDC@hampshire.edu,"Hassan, Badrul"
HACU-0289-01,Cooperative course registrations,HACU-0289-01 ~ Cooperative course registrations,bhDC@hampshire.edu,"Hassan, Badrul"
IA-0190-01,Creating with cannabis,IA-0190-01 ~ Creating with cannabis,mpDP@hampshire.edu,"Peters, Maureen"
IA-0200-01,Competitive dog walking,IA-0200-01 ~ Competitive dog walking,mpDP@hampshire.edu,"Peters, Maureen"
NS-0312-01,The science of finding four leaf clovers,NS-0312-01 ~ The science of finding four leaf clovers,kafNS@hampshire.edu,"Finnell, Kelsey"
OPRA-0110-01,Into to backpacking,OPRA-0110-01 ~ Into to backpacking,kafNS@hampshire.edu,"Finnell, Kelsey"
CS-0101-01,Introduction to brains,CS-0101-01~Introduction to brains,cawCR@hampshire.edu,"Wenz, Chris"
CS-0200-01,Advanced brains,CS-0200-01~Advanced brains,cawCR@hampshire.edu,"Wenz, Chris"
